Name,Description,Links,Quantity,Cost
Raspberry Pi Pico 2,Main Microcontroller,https://www.reichelt.de/de/de/shop/produkt/raspberry_pi_pico_2_rp235x_cortex-m33_microusb-383358?PROVID=2788&gad_source=1&gad_campaignid=18342381572&gbraid=0AAAAADwnxtZySp6snfqlNQh9cQN6eEoma&gclid=CjwKCAjw9NjRBhATEiwA_p2J8WISM3CV-5xLQ1WSkRMO_TXtbIi6DppgweJQJHcUMaJSaLYzL0ge3BoCRuIQAvD_BwE,1,5.62
LED Matrix,64x32 RGB LED,https://www.berrybase.de/64x32-rgb-led-matrix-4mm-raster?gad_source=1&gad_campaignid=22735754544&gbraid=0AAAAADSQJK6oAGUJjXrYG5gYnJHQ5Jjam&gclid=CjwKCAjw9NjRBhATEiwA_p2J8XdFgBvSN0IMrDfttK3tPlPcr9zG0XOhOTv6hz31gfH9t9VQ5HUbZBoCADEQAvD_BwE,1,45.78
MP012801, Cable for Display Signal connection, https://fr.farnell.com/multicomp-pro/mp012801/cordon-10p-idc-fem-fem-250mm/dp/4243695?gross_price=true&CMP=KNC-GFR-GEN-SHOPPING-PMAX-CLM-NCA-WF4799466&gad_source=1&gad_campaignid=22680372702&gbraid=0AAAAAD8yeHkP99Jq9rM72TE5EoHEjTmE8&gclid=CjwKCAjwuuPRBhAnEiwA2Ji8ek33McDkoHJT9Ke7_DeToY7ymegi_JM4oUVFT2Dvux25MZba99Q6FhoC2aYQAvD_BwE, 2, 4
4 pin JST-XH, Power cables for Display, https://www.amazon.fr/JST-XH-rallonges-Silicone-pour-Batterie/dp/B07Q29TG24/ref=asc_df_B07Q29TG24?mcid=a0d761b0452c321b98846652082587cc&tag=googshopfr-21&linkCode=df0&hvadid=701489356687&hvpos=&hvnetw=g&hvrand=16181058269952431140&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9198620&hvtargid=pla-913227186132&psc=1&hvocijid=16181058269952431140-B07Q29TG24-&hvexpln=0, 5, 8.4
LRS-50-5,Meanwell Power Supply,https://www.amazon.de/Mean-Well-LRS-50-5-Schaltnetzteil-Ausgang/dp/B07C8S8XR2/ref=asc_df_B07C8S8XR2?mcid=98ce572e2fce39e3a2419d4fec438ea2&th=1&psc=1&tag=googshopde-21&linkCode=df0&hvadid=697141436093&hvpos=&hvnetw=g&hvrand=5630339521119134144&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9192175&hvtargid=pla-1002526381362&psc=1&hvocijid=5630339521119134144-B07C8S8XR2-&hvexpln=0,1,15.95
M4 screws,M4 x 40mm to mount Matrix,https://www.amazon.de/Schrauben-Flachkopfschrauben-Innensechskant-Edelstahl-Vollgewinde/dp/B0FBRG8CY8/ref=asc_df_B0FBRFX31B?mcid=ab799e33758630739f43d349c22f1dd0&th=1&tag=googshopde-21&linkCode=df0&hvadid=754406131138&hvpos=&hvnetw=g&hvrand=17149132634719769834&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9192175&hvtargid=pla-2433133612759&hvocijid=17149132634719769834-B0FBRFX31B-&hvexpln=0,1,4.59
Cable, Cable for Meanwell, https://www.reichelt.de/de/de/shop/produkt/netzkabel_schutzkontaktstecker_1_5m_schw_offenes_ende-13486?PROVID=2788&gad_source=1&gad_campaignid=21157097500&gbraid=0AAAAADwnxtaCiA50DFh4EztrBHMjWf6Ez&gclid=CjwKCAjw9NjRBhATEiwA_p2J8WIPmz-VMBgtNtMDO9CBAecbJfg9ijE5OcecS-l-aDqWXHgSGhZ57hoCiikQAvD_BwE, 1, 4
1N5817, Shottkey diode, https://www.mouser.de/ProductDetail/Vishay-Semiconductors/1N5817-E3-54?qs=7w0fSgRKp91XBC3hZ6oJHw%3D%3D&mgh=1&vip=1&utm_id=20968985688&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=20978868859&gbraid=0AAAAADn_wf0P5I-6LpsN63LiqLCM6lbQY&gclid=CjwKCAjwl97RBhBWEiwAa9rbXfu5BAwt-kJOxX4aIbx4m5PHBLK63Cdnrt3nvMd14Sili8pvXa4xihoChIYQAvD_BwE,1, 0.82
Filament,about 1.5kg,,1,18
total,,,,107.16
